Date,State,Total,Category,lag_1,lag_7,lag_30,rolling_mean_7,rolling_std_7,rolling_mean_30,rolling_std_30,day_of_week,month,week,is_holiday
2019-02-22,Alabama,111422618.41034482,Beverages,111377531.03448276,111107006.77931035,110069997.13448276,111242268.90689656,97399.86391168294,110723764.08448274,396922.5847883249,4,2,8,0
2019-02-23,Alabama,111467705.7862069,Beverages,111422618.41034482,111152094.15517241,110115084.51034483,111287356.28275862,97399.86391169416,110768851.46034482,396922.5847883387,5,2,8,0
2019-02-24,Alabama,111512793.16206896,Beverages,111467705.7862069,111197181.53103448,110160171.8862069,111332443.65862069,97399.86391170709,110813938.8362069,396922.5847883537,6,2,8,0
2019-02-25,Alabama,111557880.53793103,Beverages,111512793.16206896,111242268.90689655,110205259.26206897,111377531.03448275,97399.86391171829,110859026.21206897,396922.58478836704,0,2,9,0
2019-02-26,Alabama,111602967.9137931,Beverages,111557880.53793103,111287356.28275862,110250346.63793103,111422618.41034484,97399.86391172951,110904113.58793105,396922.5847883799,1,2,9,0
2019-02-27,Alabama,111648055.28965516,Beverages,111602967.9137931,111332443.65862069,110295434.0137931,111467705.78620689,97399.86391174617,110949200.9637931,396922.58478839375,2,2,9,0
2019-02-28,Alabama,111693142.66551724,Beverages,111648055.28965516,111377531.03448276,110340521.38965517,111512793.16206896,97399.86391175738,110994288.33965518,396922.58478840755,3,2,9,0
2019-03-01,Alabama,111738230.0413793,Beverages,111693142.66551724,111422618.41034482,110385608.76551723,111557880.53793104,97399.86391177405,111039375.71551724,396922.58478842257,4,3,9,0
2019-03-02,Alabama,111783317.41724138,Beverages,111738230.0413793,111467705.7862069,110430696.14137931,111602967.91379309,97399.86391178526,111084463.09137931,396922.5847884359,5,3,9,0
2019-03-03,Alabama,111828404.79310344,Beverages,111783317.41724138,111512793.16206896,110475783.51724137,111648055.28965518,97399.86391180192,111129550.46724138,396922.5847884497,6,3,9,0
2019-03-04,Alabama,111873492.16896552,Beverages,111828404.79310344,111557880.53793103,110520870.89310345,111693142.66551724,97399.86391181313,111174637.84310344,396922.5847884635,0,3,10,1
2019-03-05,Alabama,111918579.54482758,Beverages,111873492.16896552,111602967.9137931,110565958.26896551,111738230.0413793,97399.86391182606,111219725.21896553,396922.58478847856,1,3,10,0
2019-03-06,Alabama,111963666.92068966,Beverages,111918579.54482758,111648055.28965516,110611045.64482759,111783317.41724136,97399.86391183727,111264812.59482759,396922.58478849183,2,3,10,0
2019-03-07,Alabama,112008754.29655172,Beverages,111963666.92068966,111693142.66551724,110656133.02068965,111828404.79310346,97399.86391185019,111309899.97068964,396922.5847885056,3,3,10,0
2019-03-08,Alabama,112053841.6724138,Beverages,112008754.29655172,111738230.0413793,110701220.39655173,111873492.1689655,97399.86391186141,111354987.34655172,396922.5847885194,4,3,10,0
2019-03-09,Alabama,112098929.04827586,Beverages,112053841.6724138,111783317.41724138,110746307.77241379,111918579.5448276,97399.86391187434,111400074.7224138,396922.58478853444,5,3,10,0
2019-03-10,Alabama,112144016.42413794,Beverages,112098929.04827586,111828404.79310344,110791395.14827587,111963666.92068966,97399.86391188554,111445162.09827587,396922.5847885478,6,3,10,0
2019-03-11,Alabama,112189103.8,Beverages,112144016.42413794,111873492.16896552,110836482.52413793,112008754.29655172,97399.86391189847,111490249.47413793,396922.58478856157,0,3,11,0
2019-03-12,Alabama,112375011.78461538,Beverages,112189103.8,111918579.54482758,110881569.9,112053841.6724138,97399.86391190969,111535336.85,396922.58478857536,1,3,11,0
2019-03-13,Alabama,112560919.76923077,Beverages,112375011.78461538,111963666.92068966,110926657.27586207,112119046.27809776,136634.13100685703,111585118.24615385,405657.2257784042,2,3,11,0
2019-03-14,Alabama,112746827.75384615,Beverages,112560919.76923077,112008754.29655172,110971744.65172413,112204368.11360362,196707.92336816763,111639593.66259947,423522.43734460056,3,3,11,0
2019-03-15,Alabama,112932735.73846154,Beverages,112746827.75384615,112053841.6724138,111016832.0275862,112309807.1789314,261514.80617261486,111698763.09933688,450160.1537718324,4,3,11,0
2019-03-16,Alabama,113118643.72307692,Beverages,112932735.73846154,112098929.04827586,111061919.40344827,112435363.47408108,322105.29595007445,111762626.55636604,484660.67085912003,5,3,11,0
2019-03-17,Alabama,113304551.70769231,Beverages,113118643.72307692,112144016.42413794,111107006.77931035,112581036.99905266,371404.82736315945,111831184.03368701,525841.5659459225,6,3,11,0
2019-03-18,Alabama,113490459.6923077,Beverages,113304551.70769231,112189103.8,111152094.15517241,112746827.75384615,401607.1473521854,111904435.53129974,572477.2957940373,0,3,12,0
2019-03-19,Alabama,113676367.67692308,Beverages,113490459.6923077,112375011.78461538,111197181.53103448,112932735.73846154,401607.14735220035,111982381.04920426,623432.3056472944,1,3,12,0
2019-03-20,Alabama,113862275.66153845,Beverages,113676367.67692308,112560919.76923077,111242268.90689655,113118643.72307692,401607.14735221525,112065020.58740053,677712.7090791428,2,3,12,0
2019-03-21,Alabama,114048183.64615384,Beverages,113862275.66153845,112746827.75384615,111287356.28275862,113304551.70769231,401607.1473522265,112152354.1458886,734469.8281629981,3,3,12,0
2019-03-22,Alabama,114234091.63076922,Beverages,114048183.64615384,112932735.73846154,111332443.65862069,113490459.6923077,401607.14735223766,112244381.72466844,792982.3205218569,4,3,12,0
2019-03-23,Alabama,114419999.61538461,Beverages,114234091.63076922,113118643.72307692,111377531.03448276,113676367.67692307,401607.14735224884,112341103.32374005,852632.2387368104,5,3,12,0
2019-03-24,Alabama,114605907.6,Beverages,114419999.61538461,113304551.70769231,111422618.41034482,113862275.66153847,401607.1473522601,112442518.94310346,912882.0352981176,6,3,12,0
2019-03-25,Alabama,114791815.58461538,Beverages,114605907.6,113490459.6923077,111467705.7862069,114048183.64615384,401607.14735227125,112548628.58275862,973254.9443786402,0,3,13,0
2019-03-26,Alabama,114977723.56923077,Beverages,114791815.58461538,113676367.67692308,111512793.16206896,114234091.63076922,401607.1473522824,112659432.24270557,1033319.0700848951,1,3,13,0
2019-03-27,Alabama,115163631.55384615,Beverages,114977723.56923077,113862275.66153845,111557880.53793103,114419999.61538461,401607.14735229366,112774929.92294429,1092674.7124028704,2,3,13,0
2019-03-28,Alabama,115349539.53846154,Beverages,115163631.55384615,114048183.64615384,111602967.9137931,114605907.6,401607.1473523011,112895121.62347479,1150944.2557614301,3,3,13,0
2019-03-29,Alabama,115535447.52307692,Beverages,115349539.53846154,114234091.63076922,111648055.28965516,114791815.58461538,401607.14735230856,113020007.34429708,1207763.971435651,4,3,13,0
2019-03-30,Alabama,115721355.5076923,Beverages,115535447.52307692,114419999.61538461,111693142.66551724,114977723.56923077,401607.14735231607,113149587.08541113,1262777.1813691491,5,3,13,0
2019-03-31,Alabama,115907263.4923077,Beverages,115721355.5076923,114605907.6,111738230.0413793,115163631.55384615,401607.1473523235,113283860.84681699,1315628.3311151639,6,3,13,0
2019-04-01,Alabama,116093171.47692308,Beverages,115907263.4923077,114791815.58461538,111783317.41724138,115349539.53846154,401607.14735233097,113422828.62851459,1365957.6000198228,0,4,14,0
2019-04-02,Alabama,116279079.46153846,Beverages,116093171.47692308,114977723.56923077,111828404.79310344,115535447.52307692,401607.1473523385,113566490.43050398,1413395.7312717303,1,4,14,0
2019-04-03,Alabama,116464987.44615385,Beverages,116279079.46153846,115163631.55384615,111873492.16896552,115721355.5076923,401607.147352346,113714846.25278515,1457558.7924541007,2,4,14,0
2019-04-04,Alabama,116650895.43076923,Beverages,116464987.44615385,115349539.53846154,111918579.54482758,115907263.4923077,401607.14735235344,113867896.09535809,1498042.578724383,3,4,14,0
2019-04-05,Alabama,116836803.41538462,Beverages,116650895.43076923,115535447.52307692,111963666.92068966,116093171.47692308,401607.1473523609,114025639.9582228,1534416.3437275477,4,4,14,0
2019-04-06,Alabama,117022711.4,Beverages,116836803.41538462,115721355.5076923,112008754.29655172,116279079.46153846,401607.1473523684,114188077.84137931,1566215.482156854,5,4,14,0
2019-04-07,Alabama,117208619.38461539,Beverages,117022711.4,115907263.4923077,112053841.6724138,116464987.44615385,401607.14735237585,114355209.74482758,1592932.6810461334,6,4,14,0
2019-04-08,Alabama,117394527.36923078,Beverages,117208619.38461539,116093171.47692308,112098929.04827586,116650895.43076923,401607.1473523833,114527035.66856764,1614006.8836074648,0,4,15,0
2019-04-09,Alabama,117580435.35384615,Beverages,117394527.36923078,116279079.46153846,112144016.42413794,116836803.41538462,401607.1473523908,114703555.61259946,1628809.1330390878,1,4,15,0
2019-04-10,Alabama,117766343.33846153,Beverages,117580435.35384615,116464987.44615385,112189103.8,117022711.4,401607.14735239453,114884769.57692309,1636623.919121998,2,4,15,0
2019-04-11,Alabama,117952251.32307692,Beverages,117766343.33846153,116650895.43076923,112375011.78461538,117208619.38461539,401607.14735239826,115070677.56153846,1636623.9191220133,3,4,15,0
2019-04-12,Alabama,118138159.3076923,Beverages,117952251.32307692,116836803.41538462,112560919.76923077,117394527.36923078,401607.147352402,115256585.54615384,1636623.9191220289,4,4,15,0
2019-04-13,Alabama,118324067.29230769,Beverages,118138159.3076923,117022711.4,112746827.75384615,117580435.35384616,401607.14735240577,115442493.53076921,1636623.9191220442,5,4,15,0
2019-04-14,Alabama,118509975.27692308,Beverages,118324067.29230769,117208619.38461539,112932735.73846154,117766343.33846153,401607.1473524095,115628401.51538461,1636623.9191220596,6,4,15,0
2019-04-15,Alabama,118695883.26153846,Beverages,118509975.27692308,117394527.36923078,113118643.72307692,117952251.32307692,401607.1473524133,115814309.5,1636623.9191220752,0,4,16,0
2019-04-16,Alabama,118881791.24615385,Beverages,118695883.26153846,117580435.35384615,113304551.70769231,118138159.3076923,401607.147352417,116000217.48461539,1636623.9191220908,1,4,16,0
2019-04-17,Alabama,119067699.23076923,Beverages,118881791.24615385,117766343.33846153,113490459.6923077,118324067.29230769,401607.147352417,116186125.46923079,1636623.9191221062,2,4,16,1
2019-04-18,Alabama,119253607.21538462,Beverages,119067699.23076923,117952251.32307692,113676367.67692308,118509975.27692308,401607.147352417,116372033.45384616,1636623.9191221215,3,4,16,0
2019-04-19,Alabama,119439515.2,Beverages,119253607.21538462,118138159.3076923,113862275.66153845,118695883.26153846,401607.147352417,116557941.43846154,1636623.9191221371,4,4,16,1
2019-04-20,Alabama,119625423.18461539,Beverages,119439515.2,118324067.29230769,114048183.64615384,118881791.24615383,401607.147352417,116743849.42307691,1636623.9191221518,5,4,16,0
2019-04-21,Alabama,119811331.16923077,Beverages,119625423.18461539,118509975.27692308,114234091.63076922,119067699.23076925,401607.147352417,116929757.4076923,1636623.9191221665,6,4,16,0
2019-04-22,Alabama,119997239.15384616,Beverages,119811331.16923077,118695883.26153846,114419999.61538461,119253607.21538462,401607.147352417,117115665.3923077,1636623.9191221811,0,4,17,0
2019-04-23,Alabama,120183147.13846155,Beverages,119997239.15384616,118881791.24615385,114605907.6,119439515.2,401607.147352417,117301573.37692307,1636623.9191221958,1,4,17,0
2019-04-24,Alabama,120369055.12307693,Beverages,120183147.13846155,119067699.23076923,114791815.58461538,119625423.18461539,401607.147352417,117487481.36153845,1636623.9191222105,2,4,17,0
2019-04-25,Alabama,120554963.10769232,Beverages,120369055.12307693,119253607.21538462,114977723.56923077,119811331.16923077,401607.147352417,117673389.34615384,1636623.919122225,3,4,17,0
2019-04-26,Alabama,120740871.09230769,Beverages,120554963.10769232,119439515.2,115163631.55384615,119997239.15384616,401607.147352417,117859297.33076923,1636623.9191222398,4,4,17,0
2019-04-27,Alabama,120926779.07692307,Beverages,120740871.09230769,119625423.18461539,115349539.53846154,120183147.13846155,401607.1473524133,118045205.31538463,1636623.9191222535,5,4,17,0
2019-04-28,Alabama,121112687.06153846,Beverages,120926779.07692307,119811331.16923077,115535447.52307692,120369055.12307692,401607.14735240955,118231113.3,1636623.9191222673,6,4,17,0
2019-04-29,Alabama,121298595.04615384,Beverages,121112687.06153846,119997239.15384616,115721355.5076923,120554963.10769232,401607.14735240577,118417021.28461538,1636623.9191222813,0,4,18,0
2019-04-30,Alabama,121484503.03076923,Beverages,121298595.04615384,120183147.13846155,115907263.4923077,120740871.0923077,401607.14735240204,118602929.26923077,1636623.919122295,1,4,18,0
2019-05-01,Alabama,121670411.01538461,Beverages,121484503.03076923,120369055.12307693,116093171.47692308,120926779.07692309,401607.14735239826,118788837.25384615,1636623.9191223087,2,5,18,0
2019-05-02,Alabama,121856319.0,Beverages,121670411.01538461,120554963.10769232,116279079.46153846,121112687.06153846,401607.14735239453,118974745.23846154,1636623.9191223227,3,5,18,0
2019-05-03,Alabama,122042226.98461539,Beverages,121856319.0,120740871.09230769,116464987.44615385,121298595.04615383,401607.1473523908,119160653.22307692,1636623.9191223364,4,5,18,0
2019-05-04,Alabama,122228134.96923077,Beverages,122042226.98461539,120926779.07692307,116650895.43076923,121484503.03076923,401607.1473523833,119346561.20769231,1636623.9191223502,5,5,18,0
2019-05-05,Alabama,122414042.95384616,Beverages,122228134.96923077,121112687.06153846,116836803.41538462,121670411.01538463,401607.14735237585,119532469.1923077,1636623.9191223641,6,5,18,0
2019-05-06,Alabama,122599950.93846154,Beverages,122414042.95384616,121298595.04615384,117022711.4,121856319.0,401607.1473523684,119718377.17692308,1636623.9191223779,0,5,19,0
2019-05-07,Alabama,122785858.92307693,Beverages,122599950.93846154,121484503.03076923,117208619.38461539,122042226.98461537,401607.1473523609,119904285.16153845,1636623.9191223918,1,5,19,0
2019-05-08,Alabama,122971766.90769231,Beverages,122785858.92307693,121670411.01538461,117394527.36923078,122228134.96923077,401607.14735235344,120090193.14615385,1636623.9191224056,2,5,19,0
2019-05-09,Alabama,123157674.8923077,Beverages,122971766.90769231,121856319.0,117580435.35384615,122414042.95384617,401607.147352346,120276101.13076922,1636623.9191224196,3,5,19,0
2019-05-10,Alabama,123343582.87692308,Beverages,123157674.8923077,122042226.98461539,117766343.33846153,122599950.93846154,401607.1473523385,120462009.11538461,1636623.9191224324,4,5,19,0
2019-05-11,Alabama,123529490.86153847,Beverages,123343582.87692308,122228134.96923077,117952251.32307692,122785858.92307691,401607.14735233097,120647917.1,1636623.9191224452,5,5,19,0
2019-05-12,Alabama,123715398.84615386,Beverages,123529490.86153847,122414042.95384616,118138159.3076923,122971766.90769231,401607.1473523235,120833825.08461538,1636623.919122458,6,5,19,0
2019-05-13,Alabama,123901306.83076924,Beverages,123715398.84615386,122599950.93846154,118324067.29230769,123157674.89230771,401607.14735231607,121019733.06923078,1636623.9191224708,0,5,20,0
2019-05-14,Alabama,124087214.81538463,Beverages,123901306.83076924,122785858.92307693,118509975.27692308,123343582.87692308,401607.14735230856,121205641.05384615,1636623.9191224836,1,5,20,0
2019-05-15,Alabama,124273122.80000001,Beverages,124087214.81538463,122971766.90769231,118695883.26153846,123529490.86153845,401607.1473523011,121391549.03846154,1636623.9191224964,2,5,20,0
2019-05-16,Alabama,124459030.78461538,Beverages,124273122.80000001,123157674.8923077,118881791.24615385,123715398.84615386,401607.14735229366,121577457.02307694,1636623.9191225092,3,5,20,0
2019-05-17,Alabama,124644938.76923077,Beverages,124459030.78461538,123343582.87692308,119067699.23076923,123901306.83076926,401607.1473522824,121763365.0076923,1636623.9191225213,4,5,20,0
2019-05-18,Alabama,124830846.75384615,Beverages,124644938.76923077,123529490.86153847,119253607.21538462,124087214.81538463,401607.14735227125,121949272.9923077,1636623.9191225334,5,5,20,1
2019-05-19,Alabama,125016754.73846154,Beverages,124830846.75384615,123715398.84615386,119439515.2,124273122.8,401607.1473522601,122135180.97692308,1636623.9191225455,6,5,20,0
2019-05-20,Alabama,125202662.72307692,Beverages,125016754.73846154,123901306.83076924,119625423.18461539,124459030.78461538,401607.14735224884,122321088.96153848,1636623.9191225574,0,5,21,0
2019-05-21,Alabama,125388570.70769231,Beverages,125202662.72307692,124087214.81538463,119811331.16923077,124644938.76923077,401607.14735223766,122506996.94615385,1636623.9191225695,1,5,21,0
2019-05-22,Alabama,125574478.6923077,Beverages,125388570.70769231,124273122.80000001,119997239.15384616,124830846.75384617,401607.1473522265,122692904.93076922,1636623.9191225814,2,5,21,0
2019-05-23,Alabama,125760386.67692308,Beverages,125574478.6923077,124459030.78461538,120183147.13846155,125016754.73846152,401607.14735221525,122878812.91538462,1636623.9191225935,3,5,21,0
2019-05-24,Alabama,125946294.66153847,Beverages,125760386.67692308,124644938.76923077,120369055.12307693,125202662.72307692,401607.14735220035,123064720.9,1636623.9191226054,4,5,21,0
2019-05-25,Alabama,126132202.64615385,Beverages,125946294.66153847,124830846.75384615,120554963.10769232,125388570.70769231,401607.1473521854,123250628.88461539,1636623.9191226175,5,5,21,0
2019-05-26,Alabama,126318110.63076924,Beverages,126132202.64615385,125016754.73846154,120740871.09230769,125574478.6923077,401607.14735217043,123436536.86923078,1636623.9191226296,6,5,21,0
2019-05-27,Alabama,126504018.61538462,Beverages,126318110.63076924,125202662.72307692,120926779.07692307,125760386.67692308,401607.1473521555,123622444.85384615,1636623.9191226407,0,5,22,0
2019-05-28,Alabama,126689926.60000001,Beverages,126504018.61538462,125388570.70769231,121112687.06153846,125946294.66153847,401607.1473521406,123808352.83846155,1636623.919122652,1,5,22,0
2019-05-29,Alabama,126875834.5846154,Beverages,126689926.60000001,125574478.6923077,121298595.04615384,126132202.64615384,401607.1473521256,123994260.82307692,1636623.919122663,2,5,22,0
2019-05-30,Alabama,127061742.56923078,Beverages,126875834.5846154,125760386.67692308,121484503.03076923,126318110.63076925,401607.14735211065,124180168.80769232,1636623.9191226743,3,5,22,0
2019-05-31,Alabama,127247650.55384617,Beverages,127061742.56923078,125946294.66153847,121670411.01538461,126504018.61538461,401607.14735209575,124366076.79230769,1636623.9191226854,4,5,22,0
2019-06-01,Alabama,127433558.53846154,Beverages,127247650.55384617,126132202.64615385,121856319.0,126689926.60000001,401607.14735208073,124551984.77692309,1636623.9191226966,5,6,22,0
2019-06-02,Alabama,127619466.52307692,Beverages,127433558.53846154,126318110.63076924,122042226.98461539,126875834.5846154,401607.14735206205,124737892.76153846,1636623.9191227069,6,6,22,0
2019-06-03,Alabama,127805374.5076923,Beverages,127619466.52307692,126504018.61538462,122228134.96923077,127061742.56923078,401607.14735204336,124923800.74615385,1636623.9191227173,0,6,23,0
2019-06-04,Alabama,127991282.4923077,Beverages,127805374.5076923,126689926.60000001,122414042.95384616,127247650.55384615,401607.1473520247,125109708.73076923,1636623.9191227276,1,6,23,0
2019-06-05,Alabama,128177190.47692308,Beverages,127991282.4923077,126875834.5846154,122599950.93846154,127433558.53846155,401607.147352006,125295616.71538462,1636623.919122738,2,6,23,1
2019-06-06,Alabama,128363098.46153846,Beverages,128177190.47692308,127061742.56923078,122785858.92307693,127619466.5230769,401607.1473519873,125481524.7,1636623.9191227485,3,6,23,0
2019-06-07,Alabama,128549006.44615385,Beverages,128363098.46153846,127247650.55384617,122971766.90769231,127805374.50769232,401607.1473519686,125667432.68461539,1636623.9191227588,4,6,23,0
2019-06-08,Alabama,128734914.43076923,Beverages,128549006.44615385,127433558.53846154,123157674.8923077,127991282.4923077,401607.1473519499,125853340.66923077,1636623.9191227693,5,6,23,0
2019-06-09,Alabama,128920822.41538462,Beverages,128734914.43076923,127619466.52307692,123343582.87692308,128177190.4769231,401607.1473519241,126039248.65384617,1636623.9191227795,6,6,23,0
2019-06-10,Alabama,129106730.4,Beverages,128920822.41538462,127805374.5076923,123529490.86153847,128363098.46153845,401607.1473518982,126225156.63846155,1636623.91912279,0,6,24,0
2019-06-11,Alabama,128773031.88253969,Beverages,129106730.4,127991282.4923077,123715398.84615386,128549006.44615385,401607.14735187235,126411064.62307693,1636623.9191228002,1,6,24,0
2019-06-12,Alabama,128439333.36507937,Beverages,128773031.88253969,128177190.47692308,123901306.83076924,128660684.9304727,321340.0600766399,126579652.39095645,1609639.261537899,2,6,24,0
2019-06-13,Alabama,128105634.84761906,Beverages,128439333.36507937,128363098.46153846,124087214.81538463,128698133.91449502,266135.69512531784,126730919.94210012,1561781.0372501977,3,6,24,0
2019-06-14,Alabama,127771936.33015874,Beverages,128105634.84761906,128549006.44615385,124273122.80000001,128661353.39822082,330228.70715822664,126864867.27650793,1498252.4056920784,4,6,24,0
2019-06-15,Alabama,127438237.81269842,Beverages,127771936.33015874,128734914.43076923,124459030.78461538,128550343.3816501,473723.6027925728,126981494.3941799,1423880.396989389,5,6,24,0
2019-06-16,Alabama,127104539.2952381,Beverages,127438237.81269842,128920822.41538462,124644938.76923077,128365103.86478284,620349.482833762,127080801.29511599,1343510.0994777982,6,6,24,0
2019-06-17,Alabama,126770840.77777778,Beverages,127104539.2952381,129106730.4,124830846.75384615,128105634.84761906,720871.1877011328,127162787.97931623,1262332.8839974771,0,6,25,0
2019-06-18,Alabama,126437142.26031746,Beverages,126770840.77777778,128773031.88253969,125016754.73846154,127771936.33015873,720871.1877011571,127227454.44678064,1186145.0914322794,1,6,25,0
2019-06-19,Alabama,126103443.74285714,Beverages,126437142.26031746,128439333.36507937,125202662.72307692,127438237.81269844,720871.1877011757,127274800.69750915,1121443.2709360817,2,6,25,0
2019-06-20,Alabama,125769745.22539683,Beverages,126103443.74285714,128105634.84761906,125388570.70769231,127104539.2952381,720871.1877011944,127304826.73150183,1075153.3930098074,3,6,25,0
2019-06-21,Alabama,125436046.70793651,Beverages,125769745.22539683,127771936.33015874,125574478.6923077,126770840.77777778,720871.187701213,127317532.54875867,1053766.392425351,4,6,25,0
2019-06-22,Alabama,125102348.1904762,Beverages,125436046.70793651,127438237.81269842,125760386.67692308,126437142.26031746,720871.1877012317,127312918.14927961,1061933.7943938863,5,6,25,0
2019-06-23,Alabama,124768649.67301588,Beverages,125102348.1904762,127104539.2952381,125946294.66153847,126103443.74285714,720871.1877012504,127290983.53306474,1101178.5203237515,6,6,25,0
2019-06-24,Alabama,124434951.15555556,Beverages,124768649.67301588,126770840.77777778,126132202.64615385,125769745.22539684,720871.1877012692,127251728.70011397,1169629.7905024337,0,6,26,0
2019-06-25,Alabama,124101252.63809524,Beverages,124434951.15555556,126437142.26031746,126318110.63076924,125436046.70793653,720871.187701295,127195153.65042736,1262972.0916008162,1,6,26,0
2019-06-26,Alabama,123767554.12063493,Beverages,124101252.63809524,126103443.74285714,126504018.61538462,125102348.19047618,720871.1877013209,127121258.38400489,1375864.1212544432,2,6,26,0
2019-06-27,Alabama,123433855.60317461,Beverages,123767554.12063493,125769745.22539683,126689926.60000001,124768649.67301586,720871.1877013467,127030042.90084656,1503029.1224797757,3,6,26,0
2019-06-28,Alabama,123100157.0857143,Beverages,123433855.60317461,125436046.70793651,126875834.5846154,124434951.15555556,720871.1877013725,126921507.20095238,1639777.9894403364,4,6,26,0
2019-06-29,Alabama,122766458.56825396,Beverages,123100157.0857143,125102348.1904762,127061742.56923078,124101252.63809524,720871.1877013984,126795651.28432234,1782121.1997539327,5,6,26,0
2019-06-30,Alabama,122432760.05079365,Beverages,122766458.56825396,124768649.67301588,127247650.55384617,123767554.12063493,720871.187701428,126652475.15095645,1926684.9353595776,6,6,26,0
2019-07-01,Alabama,122099061.53333333,Beverages,122432760.05079365,124434951.15555556,127433558.53846154,123433855.6031746,720871.1877014575,126491978.8008547,2070568.1360818052,0,7,27,0
2019-07-02,Alabama,121765363.01587301,Beverages,122099061.53333333,124101252.63809524,127619466.52307692,123100157.08571427,720871.1877014871,126314162.2340171,2211201.1679746266,1,7,27,0
2019-07-03,Alabama,121431664.4984127,Beverages,121765363.01587301,123767554.12063493,127805374.5076923,122766458.56825398,720871.1877015167,126119025.45044364,2346224.4921778804,2,7,27,0
2019-07-04,Alabama,121097965.98095238,Beverages,121431664.4984127,123433855.60317461,127991282.4923077,122432760.05079366,720871.1877015462,125906568.4501343,2473387.6803749837,3,7,27,0
2019-07-05,Alabama,120764267.46349207,Beverages,121097965.98095238,123100157.0857143,128177190.47692308,122099061.53333333,720871.1877015758,125676791.23308915,2590462.945513572,4,7,27,0
2019-07-06,Alabama,120430568.94603175,Beverages,120764267.46349207,122766458.56825396,128363098.46153846,121765363.015873,720871.1877016054,125429693.7993081,2695165.717156531,5,7,27,0
2019-07-07,Alabama,120096870.42857143,Beverages,120430568.94603175,122432760.05079365,128549006.44615385,121431664.49841271,720871.1877016388,125165276.14879121,2785074.2243204014,6,7,27,0
2019-07-08,Alabama,119763171.91111112,Beverages,120096870.42857143,122099061.53333333,128734914.43076923,121097965.98095238,720871.1877016722,124883538.28153847,2857538.931815419,0,7,28,0
2019-07-09,Alabama,119429473.3936508,Beverages,119763171.91111112,121765363.01587301,128920822.41538462,120764267.46349205,720871.1877017055,124584480.19754985,2909569.9116639965,1,7,28,0
2019-07-10,Alabama,119095774.87619048,Beverages,119429473.3936508,121431664.4984127,129106730.4,120430568.94603173,720871.1877017389,124268101.8968254,2937684.34196604,2,7,28,0
2019-07-11,Alabama,118762076.35873017,Beverages,119095774.87619048,121097965.98095238,128773031.88253969,120096870.42857143,720871.1877017722,123934403.3793651,2937684.341966024,3,7,28,0
2019-07-12,Alabama,118428377.84126985,Beverages,118762076.35873017,120764267.46349207,128439333.36507937,119763171.91111112,720871.1877018056,123600704.86190477,2937684.341966009,4,7,28,0
2019-07-13,Alabama,118094679.32380952,Beverages,118428377.84126985,120430568.94603175,128105634.84761906,119429473.3936508,720871.1877018389,123267006.34444445,2937684.3419659934,5,7,28,0
2019-07-14,Alabama,117760980.8063492,Beverages,118094679.32380952,120096870.42857143,127771936.33015874,119095774.87619047,720871.187701876,122933307.82698414,2937684.341965979,6,7,28,0
2019-07-15,Alabama,117427282.28888889,Beverages,117760980.8063492,119763171.91111112,127438237.81269842,118762076.35873017,720871.1877019131,122599609.30952382,2937684.341965964,0,7,29,0
